ENERGYSTARScore,LargestPropertyUseType,LargestPropertyUseTypeGFA(m2),Neighborhood,OSEBuildingID,PrimaryPropertyType,PropertyGFATotal(m2),SecondLargestPropertyUseTypeGFA(m2),SiteEnergyUseWN(GJ),TotalGHGEmissions(MetricTonsCO2e)
,College/University,11612.880000000001,DOWNTOWN,30.0,University,11760.874542720001,,12420292.39967,348.32000000000005
,Automobile Dealership,6245.31396096,DOWNTOWN,31.0,Other,6245.31396096,,1423779.00579625,9.405000000000001
,Hotel,10467.94293504,EAST,32.0,Hotel,14741.482775040002,3901.9276800000002,5721960.17853,253.0
38.5,Hotel,11976.03798336,DOWNTOWN,33.0,Hotel,15966.87387264,,11790223.228389999,324.18
,K-12 School,11738.39200704,Central,34.0,K-12 School,11738.39200704,,4289807.49122,122.255
58.5,Hotel,4458.78850176,DOWNTOWN,35.0,Hotel,6355.4969664,,4694848.1904,127.005
77.5,K-12 School,15257.37335616,NORTH,36.0,K-12 School,14924.4088608,,8526386.941675,265.275
,K-12 School,5125.08910464,MAGNOLIA / QUEEN ANNE,37.0,K-12 School,4792.12460928,,887580.30313,10.35
,Office,3803.72916672,LAKE UNION,38.0,Small- and Mid-Sized Office,8106.90507648,1686.46888512,4839518.54513,153.57999999999998
24.5,Hotel,7606.0647878400005,NORTHEAST,40.0,Hotel,7606.0647878400005,,7601050.261384999,229.185
,Self-Storage Facility,2436.382224,NORTHEAST,41.0,Self-Storage Facility,10252.40788224,,340857.75615231396,3.8200000000000003
8.0,Office,70330.10966208001,GREATER DUWAMISH,43.0,Mixed Use Property,45971.6757984,59451.535290240005,497580914.91135997,16870.98
,Non-Refrigerated Warehouse,57228.27264,GREATER DUWAMISH,46.0,Warehouse,66341.5963488,25641.23904,47701125.83596,322.69
94.0,K-12 School,5108.36655744,MAGNOLIA / QUEEN ANNE,50.0,K-12 School,5108.36655744,,1922938.31051375,30.125
88.0,K-12 School,16988.34279744,NORTHEAST,51.0,K-12 School,16310.5222176,,8254634.082415,262.36
57.0,Office,5164.10838144,BALLARD,52.0,Small- and Mid-Sized Office,8816.498496,3652.3901145600003,6932743.6055850005,126.82
88.0,Office,4740.749228160001,GREATER DUWAMISH,53.0,Small- and Mid-Sized Office,4882.42636416,729.1959609600001,2818458.006085,70.41499999999999
95.0,K-12 School,16259.425545600001,NORTHWEST,54.0,K-12 School,16259.425545600001,,8695158.031984998,249.785
,Self-Storage Facility,3571.0999545600002,DOWNTOWN,55.0,Self-Storage Facility,6557.65398144,2619.58701888,2484227.5269224998,42.65
67.5,Hotel,32388.7868352,DOWNTOWN,56.0,Hotel,30863.3189184,,16788020.81966,279.59000000000003
78.5,Office,9602.64402048,DOWNTOWN,57.0,Large Office,15618.394569600001,6101.50005504,9891188.55506,65.355
,Other - Mall,4807.45361088,DOWNTOWN,58.0,Other,5335.23578112,527.78217024,653836.3760175,16.63
,Office,3246.6825388800003,DOWNTOWN,59.0,Small- and Mid-Sized Office,5518.440576,463.86487872000004,5070459.837235,31.33
,Other - Entertainment/Public Assembly,2183.2214400000003,DOWNTOWN,60.0,Mixed Use Property,4881.961848960001,2183.2214400000003,17029716.07458,583.8599999999999
58.5,Hotel,7765.858016640001,DOWNTOWN,62.0,Hotel,9163.398447360001,933.0252307200001,6126224.88108,68.495
61.5,Hotel,92365.31720448,DOWNTOWN,63.0,Hotel,92365.31720448,10931.71491072,90254875.5868,2648.825
98.5,Hotel,3840.6116736000004,DOWNTOWN,65.0,Hotel,6610.051296000001,1275.5587392,5480346.163229999,130.605
99.0,Hotel,8208.9126144,DOWNTOWN,66.0,Hotel,11409.422342400001,2457.285408,6503664.946895,218.55
86.0,Hotel,6561.46300608,LAKE UNION,67.0,Hotel,10514.11574592,3952.6527398400003,5585931.556495,132.76
83.5,Hotel,9991.443242880001,LAKE UNION,68.0,Hotel,13977.54107712,278.70912000000004,7257266.345805,195.765
82.0,Hotel,8220.9900096,LAKE UNION,69.0,Hotel,10804.623552000001,2629.1560320000003,6389233.930589999,166.2
81.0,Hotel,14455.898830080001,MAGNOLIA / QUEEN ANNE,70.0,Hotel,14455.898830080001,,7229866.965135,154.675
76.5,K-12 School,5209.259258880001,EAST,73.0,K-12 School,5209.259258880001,,4144706.408245,142.98000000000002
94.0,Hotel,7251.175175040001,MAGNOLIA / QUEEN ANNE,77.0,Hotel,11421.685543680002,4170.510368640001,5641244.92335,170.565
68.0,Office,5108.180751360001,CENTRAL,82.0,Small- and Mid-Sized Office,5108.180751360001,,3983968.9404224996,86.745
52.0,Senior Care Community,27528.37849152,SOUTHWEST,84.0,Senior Care Community,20215.98021312,0.0,50736328.77432,1792.975
1.0,Senior Care Community,8676.86522688,NORTHWEST,85.0,Senior Care Community,8676.86522688,,17854978.73128,605.55
71.0,Hotel,5887.35854784,LAKE UNION,86.0,Hotel,7813.42437312,1926.0658252800001,4132095.0122999996,70.55000000000001
48.0,Medical Office,16630.94480256,EAST,89.0,Medical Office,16630.94480256,,19194790.45727,497.30999999999995
47.5,Hotel,7119.25285824,EAST,95.0,Hotel,7119.25285824,,7619208.371514999,259.195
,Medical Office,3732.2867289600003,EAST,96.0,Mixed Use Property,9269.8653312,1938.7006387200001,16406588.14304,463.19500000000005
95.5,Retail Store,6695.70789888,LAKE UNION,98.0,Retail Store,5418.1052928,,1385501.4949375,39.375
96.0,Office,24324.431351040002,LAKE UNION,100.0,Large Office,29385.788970240003,14002.903607040002,14421873.6297,134.94
38.5,Hotel,21905.421995520002,LAKE UNION,102.0,Hotel,26278.83260352,4787.94397248,21269127.56984,518.015
,Other,34188.31872,MAGNOLIA / QUEEN ANNE,103.0,Other,36139.28256,,27807030.53256,683.96
,Other,6038.6976,MAGNOLIA / QUEEN ANNE,104.0,Other,8473.964987520001,,7260112.63392,233.74
,Other,25873.49664,MAGNOLIA / QUEEN ANNE,106.0,Other,36797.5005984,,25394188.49712,852.505
90.0,Office,55630.43325504001,LAKE UNION,107.0,Large Office,53078.20094016,28864.881624960002,43171516.92252,627.24
,Other,4830.95808,MAGNOLIA / QUEEN ANNE,110.0,Other,4830.95808,,2770011.8928874996,99.11
,Other,10033.528320000001,MAGNOLIA / QUEEN ANNE,111.0,Other,5638.84291584,,950041.075043125,6.28
,Other,27499.299840000003,MAGNOLIA / QUEEN ANNE,112.0,Other,24345.05582592,,21981478.760399997,444.62
,Office,4264.249536,MAGNOLIA / QUEEN ANNE,113.0,Small- and Mid-Sized Office,6153.8973696,481.33065024,4495649.5653375,29.615000000000002
93.0,Office,67780.57153536001,MAGNOLIA / QUEEN ANNE,114.0,Large Office,85526.35281792001,17188.363042560002,40588576.003759995,654.06
70.0,Office,4510.07097984,MAGNOLIA / QUEEN ANNE,115.0,Small- and Mid-Sized Office,7080.419387520001,1993.1418201600002,3719184.4886975,47.295
54.0,Hotel,5571.95272704,MAGNOLIA / QUEEN ANNE,116.0,Hotel,9003.233606400001,3431.28087936,5551865.51545,145.41
52.0,Hotel,4646.73135168,NORTHEAST,117.0,Hotel,4646.73135168,0.0,5932569.409375,193.76999999999998
,K-12 School,7001.54470656,DELRIDGE,118.0,K-12 School,6918.30358272,,1055839.6893399998,18.52
38.5,K-12 School,6293.530638720001,EAST,119.0,K-12 School,6293.530638720001,,2860490.2776599997,71.4
100.0,K-12 School,18032.85167616,EAST,120.0,K-12 School,18032.85167616,,7778406.111149999,236.605
67.0,Office,5916.15849024,SOUTHEAST,121.0,Small- and Mid-Sized Office,9237.62797632,3321.46948608,5075408.068634999,32.545
,K-12 School,5641.537104,SOUTHEAST,122.0,K-12 School,5475.05485632,,1304841.76229,15.675
63.0,K-12 School,12490.44211584,GREATER DUWAMISH,125.0,K-12 School,12157.47762048,,7812580.295844999,224.985
93.5,K-12 School,5570.001763200001,SOUTHEAST,127.0,K-12 School,5570.001763200001,,1825744.5347824998,17.79
85.0,K-12 School,8660.23558272,MAGNOLIA / QUEEN ANNE,130.0,K-12 School,8660.23558272,,3658244.35498,91.065
,Other,4552.24896,NORTHEAST,131.0,Other,5250.97272384,,6714564.84677,44.620000000000005
,Other,11069.02560384,NORTHEAST,132.0,Other,19224.797679360003,0.0,4753030.265395,136.41000000000003
87.5,Hotel,4774.2872256,NORTHWEST,136.0,Hotel,4774.2872256,0.0,3946406.03489,133.08
88.0,K-12 School,12254.747103360001,NORTHWEST,137.0,K-12 School,12171.505979520001,,4564661.963115,126.22
93.5,K-12 School,22815.77888448,NORTHWEST,138.0,K-12 School,22815.77888448,,13175496.434719998,410.40999999999997
76.5,Hotel,6559.79075136,NORTHWEST,139.0,Hotel,6423.13037952,,3508035.7265449995,88.71000000000001
,K-12 School,6186.22762752,LAKE UNION,140.0,K-12 School,6186.22762752,,1189677.21552,14.42
97.5,Hotel,17742.6225792,DOWNTOWN,144.0,Hotel,17742.6225792,1769.8958150400001,7090909.49654,146.31
,Other - Entertainment/Public Assembly,17628.35184,DOWNTOWN,145.0,Other,26393.753664000003,,15348264.314929998,383.675
21.0,Hospital (General Medical & Surgical),28118.126989440003,BALLARD,147.0,Hospital,26508.30311232,13830.011049600002,60445997.42156,1932.46
92.0,K-12 School,5490.290954880001,Ballard,148.0,K-12 School,5157.326459520001,,1809985.82891625,10.895
,Other,3972.0694752000004,DOWNTOWN,163.0,Other,5681.5783142400005,2714.5339257600003,10859505.7421,198.845
,Museum,5388.37632,DOWNTOWN,167.0,Other,6765.199372800001,,2269025.3561325,44.625
75.5,Hotel,10563.26145408,MAGNOLIA / QUEEN ANNE,168.0,Hotel,15070.916954880002,3037.1861836800003,8318937.61553,218.215
91.0,K-12 School,26903.60554752,SOUTHEAST,169.0,K-12 School,26903.60554752,,10535790.122779999,176.385
,College/University,6021.9750528,EAST,170.0,University,5883.5495232,,3402647.3657349995,67.34
,College/University,44872.168320000004,DELRIDGE,172.0,University,40976.836755840006,,43764395.2288,853.01
,Office,8574.950592000001,NORTHEAST,173.0,Small- and Mid-Sized Office,8946.562752,459.31262976000005,17124443.58162,223.075
,"Repair Services (Vehicle, Shoe, Locksmith, etc)",6350.758911360001,GREATER DUWAMISH,174.0,Other,6257.577162240001,,8324883.142394999,207.705
61.0,K-12 School,23645.960449920003,CENTRAL,175.0,K-12 School,23645.960449920003,,16288942.09515,362.85
92.0,K-12 School,7321.1311641600005,SOUTHEAST,176.0,K-12 School,7321.1311641600005,,2870486.3117474997,55.135000000000005
81.0,K-12 School,6223.94626176,CENTRAL,177.0,K-12 School,6223.94626176,,2656189.250555,40.515
89.0,K-12 School,9137.664305280001,GREATER DUWAMISH,178.0,K-12 School,9137.664305280001,,4003138.3255625,88.595
,Office,2393.6468256000003,GREATER DUWAMISH,179.0,Small- and Mid-Sized Office,5087.8349856,2322.576,4856324.859634999,60.41
,College/University,4887.72183744,MAGNOLIA / QUEEN ANNE,182.0,University,4887.72183744,,4916719.39545,104.78999999999999
96.0,K-12 School,22162.020192,NORTH,185.0,K-12 School,21995.53794432,0.0,10032431.01985,212.875
,Other,12780.2066976,CENTRAL,187.0,Other,23316.897882240002,7279.603505280001,14892839.75298,410.475
96.5,K-12 School,5808.85547904,NORTHWEST,189.0,K-12 School,5808.85547904,,2335114.71018,51.575
20.0,Office,2787.0912000000003,GREATER DUWAMISH,190.0,Small- and Mid-Sized Office,5947.1881056,1393.5456000000001,3681240.0470924997,51.425
98.0,Retail Store,46925.60421312,NORTH,194.0,Retail Store,49242.23441856,2316.6302054400003,31246712.878179997,744.515
,Other/Specialty Hospital,4367.557716480001,NORTH,195.0,Other,5037.57444096,,8420312.00057,240.26999999999998
75.5,Retail Store,11334.170880000001,NORTH,197.0,Retail Store,11551.749799680001,,9062927.94537,65.72
11.5,Hospital (General Medical & Surgical),81661.77216000001,NORTHEAST,198.0,Hospital,81661.77216000001,,270851508.84128,8096.110000000001
73.0,Financial Office,2660.37145344,NORTHWEST,200.0,Other,5150.73034368,1429.3132704000002,3451514.84352,82.095
81.0,K-12 School,22556.3935968,BALLARD,205.0,K-12 School,22556.3935968,,10246722.673859999,121.4
,Self-Storage Facility,7945.160883840001,EAST,209.0,Self-Storage Facility,7884.681004800001,,1629795.6264024999,45.730000000000004
,College/University,61997.4501984,NORTHWEST,211.0,University,64481.39877888001,,40579827.44624,401.565
75.5,K-12 School,16089.412982400001,SOUTHEAST,212.0,K-12 School,16089.412982400001,,8368331.568254999,262.35
76.0,K-12 School,12919.932869760001,DELRIDGE,214.0,K-12 School,13502.620736640001,,6595906.4688099995,191.555
64.0,Non-Refrigerated Warehouse,10618.53876288,GREATER DUWAMISH,215.0,Warehouse,10618.53876288,,2361429.2254049997,61.19
87.5,K-12 School,17105.772240000002,SOUTHEAST,216.0,K-12 School,17105.772240000002,,10743775.68317,311.545
,K-12 School,14889.5702208,BALLARD,217.0,K-12 School,14889.5702208,,3883520.76618,220.7
84.5,Non-Refrigerated Warehouse,21752.68939776,GREATER DUWAMISH,220.0,Warehouse,21752.68939776,,9139299.782295,308.89
74.0,Retail Store,6078.181392,DELRIDGE,223.0,Retail Store,6037.21115136,,3060850.655665,34.265
34.0,Retail Store,6297.15385728,DELRIDGE,224.0,Retail Store,6293.7164448,,10500639.216289999,368.885
95.0,K-12 School,34177.541967360004,DELRIDGE,225.0,K-12 School,34177.541967360004,,14578586.966799999,272.08500000000004
86.0,K-12 School,4347.5835628800005,DELRIDGE,226.0,K-12 School,4347.5835628800005,,2552548.596635,67.83500000000001
,K-12 School,12652.27921152,CENTRAL,227.0,K-12 School,12652.27921152,,3655644.68714,174.7
,Other,5202.57024,BALLARD,228.0,Other,5202.57024,,2225392.75636125,56.475
92.0,K-12 School,6258.970707840001,SOUTHEAST,229.0,K-12 School,6258.970707840001,,2408277.1864675,44.58
,Self-Storage Facility,4839.13354752,SOUTHWEST,230.0,Self-Storage Facility,4839.13354752,,1593833.18094875,44.265
78.0,K-12 School,11870.77883904,LAKE UNION,231.0,K-12 School,11870.77883904,,4946711.322304999,68.52
80.5,Hotel,11512.544716800001,LAKE UNION,232.0,Hotel,11512.544716800001,2787.0912000000003,10043622.041269999,299.515
,Museum,3994.8307200000004,LAKE UNION,233.0,Other,4645.152,,8554365.022754999,223.655
,Non-Refrigerated Warehouse,3933.9792288000003,MAGNOLIA / QUEEN ANNE,234.0,Warehouse,4672.27968768,464.51520000000005,604507.0127468749,3.995
76.5,Hotel,13154.23433664,MAGNOLIA / QUEEN ANNE,235.0,Hotel,19291.87367424,,12253936.86923,326.21000000000004
87.0,K-12 School,6246.3358944,BALLARD,237.0,K-12 School,6246.3358944,,2660378.10252,46.59
,Office,5385.40342272,NORTHWEST,238.0,Small- and Mid-Sized Office,8466.254035200001,3054.74485824,10567601.764369998,171.25
97.0,K-12 School,5482.58000256,SOUTHWEST,239.0,K-12 School,5399.33887872,,1563371.9502174999,19.575
71.5,Hotel,6028.7569747200005,NORTHWEST,241.0,Hotel,6028.7569747200005,,6481732.359615,207.28
,K-12 School,5154.2606592,NORTH,242.0,K-12 School,4904.53728768,,760166.50976,4.28
91.0,K-12 School,6574.00491648,GREATER DUWAMISH,243.0,K-12 School,6574.00491648,,3730183.4891974996,153.92000000000002
80.5,Office,3197.35102464,DOWNTOWN,244.0,Small- and Mid-Sized Office,4139.57365632,712.75212288,1752084.3339399998,27.41
,Other - Entertainment/Public Assembly,147340.5053184,GREATER DUWAMISH,245.0,Other,147340.5053184,0.0,64438996.48864,863.37
,Distribution Center,10913.87752704,GREATER DUWAMISH,247.0,Distribution Center,16644.60154944,3467.2343558400003,11260979.810949998,97.69
,Non-Refrigerated Warehouse,3793.3240262400004,GREATER DUWAMISH,248.0,Warehouse,5447.8342656,1554.7323744,4844155.797594999,28.045
,Other - Entertainment/Public Assembly,108894.16156608,GREATER DUWAMISH,249.0,Other,108894.16156608,,59101819.32975999,1241.74
62.5,Hotel,12542.46781824,GREATER DUWAMISH,250.0,Hotel,15649.42418496,1913.8026240000002,13903623.93746,395.2
44.5,Non-Refrigerated Warehouse,7395.081984,GREATER DUWAMISH,257.0,Warehouse,7395.081984,,2214775.7535225,14.635
76.5,K-12 School,22395.76424064,LAKE UNION,260.0,K-12 School,22395.76424064,,10038222.244189998,267.25
,Office,22388.146191360003,GREATER DUWAMISH,261.0,Large Office,31063.803678720004,6778.48450752,56672980.4746,727.405
,Parking,31132.64483136,NORTH,263.0,Other,39005.15553792,6038.6976,9873998.46248,163.2
,Hotel,46036.800829440006,DOWNTOWN,267.0,Hotel,86798.56704768,40761.76621824,68744481.11639999,1598.655
39.5,Hospital (General Medical & Surgical),55891.862409600006,CENTRAL,268.0,Hospital,55511.33155776,4515.73806528,152874665.87936,4815.88
88.0,K-12 School,6662.448610560001,DELRIDGE,273.0,K-12 School,6662.448610560001,,2573259.0287874998,33.255
91.0,Non-Refrigerated Warehouse,6246.42879744,LAKE UNION,274.0,Warehouse,7004.610506880001,758.1817094400001,592425.9493049999,9.145
29.5,Hospital (General Medical & Surgical),125436.01235328,EAST,276.0,Hospital,107645.91632064001,36013.95635904,313570533.74112,10757.605
,Senior Care Community,5133.72908736,DOWNTOWN,278.0,Senior Care Community,9550.06089984,3724.57577664,11175096.87189,195.62
82.0,K-12 School,19414.97020224,SOUTHWEST,279.0,K-12 School,19414.97020224,,9342889.698959999,191.845
91.0,K-12 School,5156.11872,NORTHEAST,281.0,K-12 School,5170.33288512,,2262328.3627824998,89.4
47.5,Hotel,9927.618854400002,NORTHEAST,282.0,Hotel,9927.618854400002,,13558763.33315,468.375
62.5,Office,4373.78222016,NORTH,283.0,Small- and Mid-Sized Office,4715.66540736,341.8831872,3358716.51369,46.435
47.5,Worship Facility,5274.291386880001,NORTHEAST,284.0,Worship Facility,5274.291386880001,,2953426.556585,82.68
41.0,Worship Facility,9569.013120000001,NORTHEAST,285.0,Worship Facility,9569.013120000001,,5873262.64042,147.23000000000002
79.5,K-12 School,25018.50996288,NORTHEAST,286.0,K-12 School,25018.50996288,,11942661.462369999,208.64
78.5,K-12 School,6983.8931289600005,NORTHEAST,287.0,K-12 School,6983.8931289600005,,3268396.3879175,70.08
87.5,K-12 School,6987.609250560001,MAGNOLIA / QUEEN ANNE,289.0,K-12 School,6987.609250560001,,2507440.4295125,41.265
91.5,K-12 School,12534.292350720001,SOUTHWEST,290.0,K-12 School,12534.292350720001,,4537675.5065525,67.375
65.0,K-12 School,6067.4975424,CENTRAL,291.0,K-12 School,5984.25641856,,2766098.015935,16.415
74.5,K-12 School,8587.67830848,NORTHWEST,292.0,K-12 School,8587.67830848,,6291292.71079,209.585
,Other - Entertainment/Public Assembly,10196.480252160001,DOWNTOWN,293.0,Other,11962.75284864,1196.2195430400002,6651113.01084,56.765
,Other,18859.31712,DOWNTOWN,295.0,Other,21449.4538752,,65420037.69928,438.73
94.0,K-12 School,19041.49998144,GREATER DUWAMISH,300.0,K-12 School,19041.49998144,,9587819.76784,214.065
,Other,7228.785542400001,MAGNOLIA / QUEEN ANNE,302.0,Other,7068.620701440001,,3668582.8879199997,91.08
4.0,Medical Office,13632.684992640001,MAGNOLIA / QUEEN ANNE,313.0,Medical Office,17651.5776,910.9143072,25573268.05116,516.26
10.5,Hotel,11362.87791936,DOWNTOWN,314.0,Hotel,11362.87791936,,26996425.82444,1018.9300000000001
,Other,20168.135147520003,DOWNTOWN,315.0,Other,20018.37544704,,26924149.9942,649.4749999999999
26.0,Hotel,25734.14208,DOWNTOWN,316.0,Hotel,23622.734689920002,,28532592.12938,789.735
,Other - Entertainment/Public Assembly,6447.4709760000005,DOWNTOWN,317.0,Other,6447.4709760000005,,16649118.47795,303.455
,Restaurant,3018.79138176,DOWNTOWN,318.0,Mixed Use Property,5843.601216,2767.8602707200002,9100252.27546,294.14
98.0,Office,3065.8003200000003,DOWNTOWN,319.0,Small- and Mid-Sized Office,5249.0217600000005,650.32128,1631009.077285,44.769999999999996
72.0,Non-Refrigerated Warehouse,14806.143290880002,GREATER DUWAMISH,320.0,Warehouse,18906.140252160003,4099.9969612800005,4187867.59402,26.37
27.0,Office,9358.49483136,DOWNTOWN,322.0,Large Office,9358.49483136,,10638014.88618,69.93
58.0,Office,5770.02200832,DOWNTOWN,323.0,Small- and Mid-Sized Office,7215.03589248,1632.3064128,5296169.878094999,64.905
37.5,Office,16145.247709440002,DOWNTOWN,324.0,Large Office,21739.31136,2774.5492896,20039457.249959998,147.47
91.0,,,DOWNTOWN,325.0,Retail Store,10319.39097408,,10714965.68728,69.01
72.5,Office,35669.37898368,DOWNTOWN,326.0,Large Office,34373.753187840004,11816.523463680001,26185539.4153,173.025
92.5,Retail Store,33547.93806528,DOWNTOWN,327.0,Retail Store,64423.613088000006,30875.675022720003,42354254.785799995,395.41999999999996
89.0,Office,57788.84958336,DOWNTOWN,328.0,Large Office,73523.09424384001,12306.4011936,22276222.43212,297.655
89.0,Office,50396.275981440005,DOWNTOWN,329.0,Large Office,69467.96945088,20349.946396800002,34270967.458919995,366.96500000000003
91.0,Office,4204.7915904,DOWNTOWN,330.0,Small- and Mid-Sized Office,5890.88886336,574.79110848,3992811.530165,161.27499999999998
91.5,Office,13195.390383360002,DOWNTOWN,331.0,Large Office,19025.613561600003,1585.8548928,8244068.975339999,97.575
62.0,Office,4789.802033280001,DOWNTOWN,332.0,Small- and Mid-Sized Office,6818.990232960001,926.8007270400001,4206491.9087875,25.835
92.5,Office,21038.26502016,DOWNTOWN,333.0,Large Office,24698.36608704,2714.06941056,16318853.046149999,536.47
95.5,Office,54136.923984,DOWNTOWN,334.0,Large Office,70424.49915072,17752.098689280003,27268062.6271,214.09
89.5,Office,14957.38944,DOWNTOWN,335.0,Large Office,19138.026240000003,4761.2808,9560672.01898,225.13
97.0,Office,69079.17022848,DOWNTOWN,336.0,Large Office,76634.50995648,14968.444901760002,40819919.009959996,271.625
94.0,Office,28961.22207744,DOWNTOWN,337.0,Large Office,44671.4977536,11460.147402240002,19617661.14292,129.8
,Other,23225.760000000002,DOWNTOWN,338.0,Other,27784.5121728,,68025514.69964,1975.0100000000002
83.0,Office,6011.94152448,DOWNTOWN,339.0,Small- and Mid-Sized Office,8319.467232,934.41877632,4515890.759554999,51.135000000000005
60.5,Office,7651.029859200001,DOWNTOWN,340.0,Small- and Mid-Sized Office,8301.3511392,650.32128,4724597.0578075,34.555
86.5,Office,36133.150959360006,DOWNTOWN,341.0,Large Office,36133.150959360006,,20727899.72586,211.01999999999998
98.0,Office,32420.28096576,DOWNTOWN,342.0,Large Office,35702.824078080004,305.8275082715021,10726694.789299998,69.45
68.5,Office,22001.94825408,DOWNTOWN,343.0,Large Office,35166.123216,7739.8451654400005,13869327.102039998,901.5550000000001
93.5,Office,93937.5153504,DOWNTOWN,345.0,Large Office,122915.83158720001,25332.98675328,48527788.55728,320.345
83.0,Office,43703.076464640006,DOWNTOWN,346.0,Large Office,54805.45425984,10002.59160768,26804621.19174,177.115
,Office,8333.30978496,DOWNTOWN,347.0,Small- and Mid-Sized Office,8462.630816640001,129.32103168,2262810.7889674995,52.775000000000006
85.0,Office,7881.70810752,DOWNTOWN,348.0,Large Office,14673.199040640002,1430.7997190400001,3640382.980475,24.055
96.0,Office,48557.353207680004,DOWNTOWN,349.0,Large Office,59021.580021120004,18063.602582400003,19941062.35436,139.53
,Office,9280.084665600001,DOWNTOWN,350.0,Large Office,16057.547239680001,3654.43398144,43852937.97412,360.77
79.0,Office,56303.887392000004,DOWNTOWN,351.0,Large Office,72163.55115648001,14395.04733888,33106452.36934,223.99
95.0,Office,16958.5209216,DOWNTOWN,352.0,Large Office,17351.31497472,3128.13825984,10558235.99675,218.51
88.5,Office,75156.70129920001,DOWNTOWN,353.0,Large Office,104370.5267424,21576.545233920002,52025736.5914,666.315
93.0,Office,71103.43456704,DOWNTOWN,354.0,Large Office,97777.56960576,17241.039066240002,44168801.83692,288.86
53.5,Office,54028.50613632,DOWNTOWN,355.0,Large Office,57384.72135936,17614.416384,58410873.19648,497.83
89.5,Office,15028.181556480002,DOWNTOWN,356.0,Large Office,18718.104499200002,2702.92104576,10684064.56247,178.42
85.5,Office,110658.2044896,DOWNTOWN,357.0,Large Office,125882.41146048001,14827.232280960001,67217307.08783999,440.71500000000003
,Office,25017.302223360002,DOWNTOWN,358.0,Large Office,28845.464889600004,2637.8889177600004,23573365.94912,381.13
69.5,Office,14903.31987072,DOWNTOWN,359.0,Large Office,18536.9435712,1727.0675136000002,14911580.783759998,299.45500000000004
98.0,Office,29686.144498560003,DOWNTOWN,360.0,Large Office,34582.41341568,4896.26891712,15296725.16146,225.195
98.5,Office,8972.761409280001,DOWNTOWN,361.0,Large Office,10627.643260800001,,3380147.5518225,69.67500000000001
83.0,Retail Store,8286.951168000001,NORTHEAST,363.0,Retail Store,8286.951168000001,,6870262.424854999,81.43
77.0,Office,44086.766019840004,NORTHEAST,364.0,Large Office,44086.766019840004,,31649035.7428,198.34
