OSEBuildingID,PrimaryPropertyType,Neighborhood,PropertyGFATotal(m2),LargestPropertyUseType,LargestPropertyUseTypeGFA(m2),SecondLargestPropertyUseTypeGFA(m2),ENERGYSTARScore,SiteEnergyUseWN(GJ),TotalGHGEmissions(MetricTonsCO2e)
177,K-12 School,CENTRAL,6223.94626176,K-12 School,6223.94626176,,81.0,2656189.250555,40.515
178,K-12 School,GREATER DUWAMISH,9137.664305280001,K-12 School,9137.664305280001,,89.0,4003138.3255625,88.595
179,Small- and Mid-Sized Office,GREATER DUWAMISH,5087.8349856,Office,2393.6468256000003,2322.576,,4856324.859634999,60.41
182,University,MAGNOLIA / QUEEN ANNE,4887.72183744,College/University,4887.72183744,,,4916719.39545,104.78999999999999
185,K-12 School,NORTH,21995.53794432,K-12 School,22162.020192,0.0,96.0,10032431.01985,212.875
187,Other,CENTRAL,23316.897882240002,Other,12780.2066976,7279.603505280001,,14892839.75298,410.475
189,K-12 School,NORTHWEST,5808.85547904,K-12 School,5808.85547904,,96.5,2335114.71018,51.575
190,Small- and Mid-Sized Office,GREATER DUWAMISH,5947.1881056,Office,2787.0912000000003,1393.5456000000001,20.0,3681240.0470924997,51.425
194,Retail Store,NORTH,49242.23441856,Retail Store,46925.60421312,2316.6302054400003,98.0,31246712.878179997,744.515
195,Other,NORTH,5037.57444096,Other/Specialty Hospital,4367.557716480001,,,8420312.00057,240.26999999999998
197,Retail Store,NORTH,11551.749799680001,Retail Store,11334.170880000001,,75.5,9062927.94537,65.72
198,Hospital,NORTHEAST,81661.77216000001,Hospital (General Medical & Surgical),81661.77216000001,,11.5,270851508.84128,8096.110000000001
200,Other,NORTHWEST,5150.73034368,Financial Office,2660.37145344,1429.3132704000002,73.0,3451514.84352,82.095
205,K-12 School,BALLARD,22556.3935968,K-12 School,22556.3935968,,81.0,10246722.673859999,121.4
209,Self-Storage Facility,EAST,7884.681004800001,Self-Storage Facility,7945.160883840001,,,1629795.6264024999,45.730000000000004
211,University,NORTHWEST,64481.39877888001,College/University,61997.4501984,,,40579827.44624,401.565
212,K-12 School,SOUTHEAST,16089.412982400001,K-12 School,16089.412982400001,,75.5,8368331.568254999,262.35
214,K-12 School,DELRIDGE,13502.620736640001,K-12 School,12919.932869760001,,76.0,6595906.4688099995,191.555
215,Warehouse,GREATER DUWAMISH,10618.53876288,Non-Refrigerated Warehouse,10618.53876288,,64.0,2361429.2254049997,61.19
216,K-12 School,SOUTHEAST,17105.772240000002,K-12 School,17105.772240000002,,87.5,10743775.68317,311.545
217,K-12 School,BALLARD,14889.5702208,K-12 School,14889.5702208,,,3883520.76618,220.7
220,Warehouse,GREATER DUWAMISH,21752.68939776,Non-Refrigerated Warehouse,21752.68939776,,84.5,9139299.782295,308.89
223,Retail Store,DELRIDGE,6037.21115136,Retail Store,6078.181392,,74.0,3060850.655665,34.265
224,Retail Store,DELRIDGE,6293.7164448,Retail Store,6297.15385728,,34.0,10500639.216289999,368.885
225,K-12 School,DELRIDGE,34177.541967360004,K-12 School,34177.541967360004,,95.0,14578586.966799999,272.08500000000004
226,K-12 School,DELRIDGE,4347.5835628800005,K-12 School,4347.5835628800005,,86.0,2552548.596635,67.83500000000001
227,K-12 School,CENTRAL,12652.27921152,K-12 School,12652.27921152,,,3655644.68714,174.7
228,Other,BALLARD,5202.57024,Other,5202.57024,,,2225392.75636125,56.475
229,K-12 School,SOUTHEAST,6258.970707840001,K-12 School,6258.970707840001,,92.0,2408277.1864675,44.58
230,Self-Storage Facility,SOUTHWEST,4839.13354752,Self-Storage Facility,4839.13354752,,,1593833.18094875,44.265
231,K-12 School,LAKE UNION,11870.77883904,K-12 School,11870.77883904,,78.0,4946711.322304999,68.52
232,Hotel,LAKE UNION,11512.544716800001,Hotel,11512.544716800001,2787.0912000000003,80.5,10043622.041269999,299.515
233,Other,LAKE UNION,4645.152,Museum,3994.8307200000004,,,8554365.022754999,223.655
234,Warehouse,MAGNOLIA / QUEEN ANNE,4672.27968768,Non-Refrigerated Warehouse,3933.9792288000003,464.51520000000005,,604507.0127468749,3.995
235,Hotel,MAGNOLIA / QUEEN ANNE,19291.87367424,Hotel,13154.23433664,,76.5,12253936.86923,326.21000000000004
237,K-12 School,BALLARD,6246.3358944,K-12 School,6246.3358944,,87.0,2660378.10252,46.59
238,Small- and Mid-Sized Office,NORTHWEST,8466.254035200001,Office,5385.40342272,3054.74485824,,10567601.764369998,171.25
239,K-12 School,SOUTHWEST,5399.33887872,K-12 School,5482.58000256,,97.0,1563371.9502174999,19.575
241,Hotel,NORTHWEST,6028.7569747200005,Hotel,6028.7569747200005,,71.5,6481732.359615,207.28
242,K-12 School,NORTH,4904.53728768,K-12 School,5154.2606592,,,760166.50976,4.28
243,K-12 School,GREATER DUWAMISH,6574.00491648,K-12 School,6574.00491648,,91.0,3730183.4891974996,153.92000000000002
244,Small- and Mid-Sized Office,DOWNTOWN,4139.57365632,Office,3197.35102464,712.75212288,80.5,1752084.3339399998,27.41
245,Other,GREATER DUWAMISH,147340.5053184,Other - Entertainment/Public Assembly,147340.5053184,0.0,,64438996.48864,863.37
247,Distribution Center,GREATER DUWAMISH,16644.60154944,Distribution Center,10913.87752704,3467.2343558400003,,11260979.810949998,97.69
248,Warehouse,GREATER DUWAMISH,5447.8342656,Non-Refrigerated Warehouse,3793.3240262400004,1554.7323744,,4844155.797594999,28.045
249,Other,GREATER DUWAMISH,108894.16156608,Other - Entertainment/Public Assembly,108894.16156608,,,59101819.32975999,1241.74
250,Hotel,GREATER DUWAMISH,15649.42418496,Hotel,12542.46781824,1913.8026240000002,62.5,13903623.93746,395.2
257,Warehouse,GREATER DUWAMISH,7395.081984,Non-Refrigerated Warehouse,7395.081984,,44.5,2214775.7535225,14.635
260,K-12 School,LAKE UNION,22395.76424064,K-12 School,22395.76424064,,76.5,10038222.244189998,267.25
261,Large Office,GREATER DUWAMISH,31063.803678720004,Office,22388.146191360003,6778.48450752,,56672980.4746,727.405
263,Other,NORTH,39005.15553792,Parking,31132.64483136,6038.6976,,9873998.46248,163.2
267,Hotel,DOWNTOWN,86798.56704768,Hotel,46036.800829440006,40761.76621824,,68744481.11639999,1598.655
268,Hospital,CENTRAL,55511.33155776,Hospital (General Medical & Surgical),55891.862409600006,4515.73806528,39.5,152874665.87936,4815.88
273,K-12 School,DELRIDGE,6662.448610560001,K-12 School,6662.448610560001,,88.0,2573259.0287874998,33.255
274,Warehouse,LAKE UNION,7004.610506880001,Non-Refrigerated Warehouse,6246.42879744,758.1817094400001,91.0,592425.9493049999,9.145
276,Hospital,EAST,107645.91632064001,Hospital (General Medical & Surgical),125436.01235328,36013.95635904,29.5,313570533.74112,10757.605
278,Senior Care Community,DOWNTOWN,9550.06089984,Senior Care Community,5133.72908736,3724.57577664,,11175096.87189,195.62
279,K-12 School,SOUTHWEST,19414.97020224,K-12 School,19414.97020224,,82.0,9342889.698959999,191.845
281,K-12 School,NORTHEAST,5170.33288512,K-12 School,5156.11872,,91.0,2262328.3627824998,89.4
282,Hotel,NORTHEAST,9927.618854400002,Hotel,9927.618854400002,,47.5,13558763.33315,468.375
283,Small- and Mid-Sized Office,NORTH,4715.66540736,Office,4373.78222016,341.8831872,62.5,3358716.51369,46.435
284,Worship Facility,NORTHEAST,5274.291386880001,Worship Facility,5274.291386880001,,47.5,2953426.556585,82.68
285,Worship Facility,NORTHEAST,9569.013120000001,Worship Facility,9569.013120000001,,41.0,5873262.64042,147.23000000000002
286,K-12 School,NORTHEAST,25018.50996288,K-12 School,25018.50996288,,79.5,11942661.462369999,208.64
287,K-12 School,NORTHEAST,6983.8931289600005,K-12 School,6983.8931289600005,,78.5,3268396.3879175,70.08
289,K-12 School,MAGNOLIA / QUEEN ANNE,6987.609250560001,K-12 School,6987.609250560001,,87.5,2507440.4295125,41.265
290,K-12 School,SOUTHWEST,12534.292350720001,K-12 School,12534.292350720001,,91.5,4537675.5065525,67.375
291,K-12 School,CENTRAL,5984.25641856,K-12 School,6067.4975424,,65.0,2766098.015935,16.415
292,K-12 School,NORTHWEST,8587.67830848,K-12 School,8587.67830848,,74.5,6291292.71079,209.585
293,Other,DOWNTOWN,11962.75284864,Other - Entertainment/Public Assembly,10196.480252160001,1196.2195430400002,,6651113.01084,56.765
295,Other,DOWNTOWN,21449.4538752,Other,18859.31712,,,65420037.69928,438.73
300,K-12 School,GREATER DUWAMISH,19041.49998144,K-12 School,19041.49998144,,94.0,9587819.76784,214.065
302,Other,MAGNOLIA / QUEEN ANNE,7068.620701440001,Other,7228.785542400001,,,3668582.8879199997,91.08
313,Medical Office,MAGNOLIA / QUEEN ANNE,17651.5776,Medical Office,13632.684992640001,910.9143072,4.0,25573268.05116,516.26
314,Hotel,DOWNTOWN,11362.87791936,Hotel,11362.87791936,,10.5,26996425.82444,1018.9300000000001
315,Other,DOWNTOWN,20018.37544704,Other,20168.135147520003,,,26924149.9942,649.4749999999999
316,Hotel,DOWNTOWN,23622.734689920002,Hotel,25734.14208,,26.0,28532592.12938,789.735
317,Other,DOWNTOWN,6447.4709760000005,Other - Entertainment/Public Assembly,6447.4709760000005,,,16649118.47795,303.455
318,Mixed Use Property,DOWNTOWN,5843.601216,Restaurant,3018.79138176,2767.8602707200002,,9100252.27546,294.14
319,Small- and Mid-Sized Office,DOWNTOWN,5249.0217600000005,Office,3065.8003200000003,650.32128,98.0,1631009.077285,44.769999999999996
320,Warehouse,GREATER DUWAMISH,18906.140252160003,Non-Refrigerated Warehouse,14806.143290880002,4099.9969612800005,72.0,4187867.59402,26.37
322,Large Office,DOWNTOWN,9358.49483136,Office,9358.49483136,,27.0,10638014.88618,69.93
323,Small- and Mid-Sized Office,DOWNTOWN,7215.03589248,Office,5770.02200832,1632.3064128,58.0,5296169.878094999,64.905
324,Large Office,DOWNTOWN,21739.31136,Office,16145.247709440002,2774.5492896,37.5,20039457.249959998,147.47
325,Retail Store,DOWNTOWN,10319.39097408,,,,91.0,10714965.68728,69.01
326,Large Office,DOWNTOWN,34373.753187840004,Office,35669.37898368,11816.523463680001,72.5,26185539.4153,173.025
327,Retail Store,DOWNTOWN,64423.613088000006,Retail Store,33547.93806528,30875.675022720003,92.5,42354254.785799995,395.41999999999996
328,Large Office,DOWNTOWN,73523.09424384001,Office,57788.84958336,12306.4011936,89.0,22276222.43212,297.655
329,Large Office,DOWNTOWN,69467.96945088,Office,50396.275981440005,20349.946396800002,89.0,34270967.458919995,366.96500000000003
330,Small- and Mid-Sized Office,DOWNTOWN,5890.88886336,Office,4204.7915904,574.79110848,91.0,3992811.530165,161.27499999999998
331,Large Office,DOWNTOWN,19025.613561600003,Office,13195.390383360002,1585.8548928,91.5,8244068.975339999,97.575
332,Small- and Mid-Sized Office,DOWNTOWN,6818.990232960001,Office,4789.802033280001,926.8007270400001,62.0,4206491.9087875,25.835
333,Large Office,DOWNTOWN,24698.36608704,Office,21038.26502016,2714.06941056,92.5,16318853.046149999,536.47
334,Large Office,DOWNTOWN,70424.49915072,Office,54136.923984,17752.098689280003,95.5,27268062.6271,214.09
335,Large Office,DOWNTOWN,19138.026240000003,Office,14957.38944,4761.2808,89.5,9560672.01898,225.13
336,Large Office,DOWNTOWN,76634.50995648,Office,69079.17022848,14968.444901760002,97.0,40819919.009959996,271.625
337,Large Office,DOWNTOWN,44671.4977536,Office,28961.22207744,11460.147402240002,94.0,19617661.14292,129.8
338,Other,DOWNTOWN,27784.5121728,Other,23225.760000000002,,,68025514.69964,1975.0100000000002
339,Small- and Mid-Sized Office,DOWNTOWN,8319.467232,Office,6011.94152448,934.41877632,83.0,4515890.759554999,51.135000000000005
340,Small- and Mid-Sized Office,DOWNTOWN,8301.3511392,Office,7651.029859200001,650.32128,60.5,4724597.0578075,34.555
341,Large Office,DOWNTOWN,36133.150959360006,Office,36133.150959360006,,86.5,20727899.72586,211.01999999999998
342,Large Office,DOWNTOWN,35702.824078080004,Office,32420.28096576,305.8275082715021,98.0,10726694.789299998,69.45
343,Large Office,DOWNTOWN,35166.123216,Office,22001.94825408,7739.8451654400005,68.5,13869327.102039998,901.5550000000001
345,Large Office,DOWNTOWN,122915.83158720001,Office,93937.5153504,25332.98675328,93.5,48527788.55728,320.345
346,Large Office,DOWNTOWN,54805.45425984,Office,43703.076464640006,10002.59160768,83.0,26804621.19174,177.115
347,Small- and Mid-Sized Office,DOWNTOWN,8462.630816640001,Office,8333.30978496,129.32103168,,2262810.7889674995,52.775000000000006
348,Large Office,DOWNTOWN,14673.199040640002,Office,7881.70810752,1430.7997190400001,85.0,3640382.980475,24.055
349,Large Office,DOWNTOWN,59021.580021120004,Office,48557.353207680004,18063.602582400003,96.0,19941062.35436,139.53
350,Large Office,DOWNTOWN,16057.547239680001,Office,9280.084665600001,3654.43398144,,43852937.97412,360.77
351,Large Office,DOWNTOWN,72163.55115648001,Office,56303.887392000004,14395.04733888,79.0,33106452.36934,223.99
352,Large Office,DOWNTOWN,17351.31497472,Office,16958.5209216,3128.13825984,95.0,10558235.99675,218.51
353,Large Office,DOWNTOWN,104370.5267424,Office,75156.70129920001,21576.545233920002,88.5,52025736.5914,666.315
354,Large Office,DOWNTOWN,97777.56960576,Office,71103.43456704,17241.039066240002,93.0,44168801.83692,288.86
355,Large Office,DOWNTOWN,57384.72135936,Office,54028.50613632,17614.416384,53.5,58410873.19648,497.83
356,Large Office,DOWNTOWN,18718.104499200002,Office,15028.181556480002,2702.92104576,89.5,10684064.56247,178.42
357,Large Office,DOWNTOWN,125882.41146048001,Office,110658.2044896,14827.232280960001,85.5,67217307.08783999,440.71500000000003
358,Large Office,DOWNTOWN,28845.464889600004,Office,25017.302223360002,2637.8889177600004,,23573365.94912,381.13
359,Large Office,DOWNTOWN,18536.9435712,Office,14903.31987072,1727.0675136000002,69.5,14911580.783759998,299.45500000000004
360,Large Office,DOWNTOWN,34582.41341568,Office,29686.144498560003,4896.26891712,98.0,15296725.16146,225.195
361,Large Office,DOWNTOWN,10627.643260800001,Office,8972.761409280001,,98.5,3380147.5518225,69.67500000000001
363,Retail Store,NORTHEAST,8286.951168000001,Retail Store,8286.951168000001,,83.0,6870262.424854999,81.43
364,Large Office,NORTHEAST,44086.766019840004,Office,44086.766019840004,,77.0,31649035.7428,198.34
365,Other,NORTHEAST,3344.5094400000003,Data Center,3344.5094400000003,,96.0,31692409.2594,209.41
366,Small- and Mid-Sized Office,NORTHEAST,9197.8654752,Office,7390.901347200001,,66.5,6240434.3347849995,148.475
367,Large Office,NORTHEAST,12546.64845504,Office,8913.39636672,3948.3792000000003,90.0,4458642.9401899995,29.465
368,Large Office,NORTHEAST,20498.96287296,Office,13540.989692160001,8361.2736,93.0,7040258.439825,46.519999999999996
369,Self-Storage Facility,DOWNTOWN,8701.2987264,Self-Storage Facility,8701.2987264,,,982152.8152618749,5.96
370,Large Office,DOWNTOWN,38435.381193600006,Office,32355.341740800002,6469.210287360001,80.5,25028132.264939997,167.78
371,Mixed Use Property,DOWNTOWN,35431.45429824,Parking,16984.5337728,15253.93594368,89.5,10432294.01208,73.045
